Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount
"64013293","389169","5","920","2014-03-07 00:00:00",""
"72100625","24504599","5","342","2014-07-23 00:00:00",""
"64046911","159038","5","117","2014-03-07 00:00:00",""
"101971292","33878866","5","369","2015-11-23 00:00:00",""
"55803354","1076503","5","609","2013-10-18 00:00:00",""
"48916862","13290723","5","122","2013-06-17 00:00:00",""
"64093483","14049480","5","140","2014-03-08 00:00:00",""
"79833307","17043484","5","769","2014-12-09 00:00:00",""
"9383958","502517","5","207","2010-08-25 00:00:00",""
"17850263","1616957","5","539","2011-08-04 00:00:00",""
"17850654","1918190","5","993","2011-08-04 00:00:00",""
"17850855","6132140","5","993","2011-08-04 00:00:00",""
"17851013","6432292","5","293","2011-08-04 00:00:00",""
"17851339","6931873","5","993","2011-08-04 00:00:00",""
"42072998","4781070","5","305","2013-02-25 00:00:00",""
"55945748","3388507","5","636","2013-10-21 00:00:00",""
"442473","168512","5","430","2008-10-03 00:00:00",""
"442488","168531","5","730","2008-10-03 00:00:00",""
"442643","168621","5","658","2008-10-03 00:00:00",""
"443244","1576","5","117","2008-10-03 00:00:00",""
"443377","105075","5","117","2008-10-03 00:00:00",""
"443665","55101","5","898","2008-10-03 00:00:00",""
"443722","50315","5","106","2008-10-03 00:00:00",""
"444116","18557","5","85","2008-10-03 00:00:00",""
"444118","84556","5","85","2008-10-03 00:00:00",""
"444120","9033","5","85","2008-10-03 00:00:00",""
"444121","1711","5","85","2008-10-03 00:00:00",""
"444122","12745","5","85","2008-10-03 00:00:00",""
"444143","4689","5","85","2008-10-03 00:00:00",""
"444180","58640","5","85","2008-10-03 00:00:00",""
"444196","15496","5","85","2008-10-03 00:00:00",""
"444202","115369","5","85","2008-10-03 00:00:00",""
"444205","3748","5","85","2008-10-03 00:00:00",""
"444258","165595","5","296","2008-10-03 00:00:00",""
"444574","161872","5","553","2008-10-03 00:00:00",""
"444709","871","5","553","2008-10-03 00:00:00",""
"444750","166109","5","881","2008-10-03 00:00:00",""
"444753","7477","5","881","2008-10-03 00:00:00",""
"444794","135448","5","653","2008-10-03 00:00:00",""
"444799","122102","5","653","2008-10-03 00:00:00",""
"444812","61088","5","653","2008-10-03 00:00:00",""
"445067","167904","5","332","2008-10-04 00:00:00",""
"445079","169362","5","115","2008-10-04 00:00:00",""
"445103","167904","5","217","2008-10-04 00:00:00",""
"445138","164432","5","217","2008-10-04 00:00:00",""
"445144","168677","5","217","2008-10-04 00:00:00",""
"445288","156866","5","277","2008-10-04 00:00:00",""
"445469","123665","5","861","2008-10-04 00:00:00",""
"445528","101268","5","861","2008-10-04 00:00:00",""
"445583","22873","5","924","2008-10-04 00:00:00",""
"445619","169530","5","750","2008-10-04 00:00:00",""
"445750","25620","5","750","2008-10-04 00:00:00",""
"445757","7301","5","750","2008-10-04 00:00:00",""
"445765","150043","5","750","2008-10-04 00:00:00",""
"445955","158775","5","339","2008-10-04 00:00:00",""
"445989","169702","5","339","2008-10-04 00:00:00",""
"446023","58640","5","659","2008-10-04 00:00:00",""
"446070","169697","5","659","2008-10-04 00:00:00",""
"446100","76364","5","659","2008-10-04 00:00:00",""
"446120","78955","5","659","2008-10-04 00:00:00",""
"446139","146670","5","659","2008-10-04 00:00:00",""
"446157","58640","5","392","2008-10-04 00:00:00",""
"446173","160218","5","659","2008-10-04 00:00:00",""
"446267","73078","5","525","2008-10-04 00:00:00",""
"446269","4004","5","525","2008-10-04 00:00:00",""
"446822","169765","5","966","2008-10-04 00:00:00",""
"447483","54929","5","91","2008-10-04 00:00:00",""
"447505","162367","5","332","2008-10-04 00:00:00",""
"447602","122688","5","908","2008-10-04 00:00:00",""
"447692","84556","5","775","2008-10-04 00:00:00",""
"448357","170373","5","825","2008-10-04 00:00:00",""
"448529","157319","5","416","2008-10-04 00:00:00",""
"102107766","33914685","5","476","2015-11-25 00:00:00",""
"72273326","24747238","5","609","2014-07-26 00:00:00",""
"481989","180297","5","488","2008-10-07 00:00:00",""
"482003","179338","5","488","2008-10-07 00:00:00",""
"482012","117930","5","488","2008-10-07 00:00:00",""
"482034","54674","5","488","2008-10-07 00:00:00",""
"482040","9589","5","488","2008-10-07 00:00:00",""
"482643","180754","5","115","2008-10-07 00:00:00",""
"482753","7571","5","85","2008-10-07 00:00:00",""
"483001","178407","5","619","2008-10-07 00:00:00",""
"483150","180841","5","305","2008-10-08 00:00:00",""
"483249","180844","5","60","2008-10-08 00:00:00",""
"483272","180242","5","757","2008-10-08 00:00:00",""
"483334","93989","5","788","2008-10-08 00:00:00",""
"483385","180746","5","708","2008-10-08 00:00:00",""
"483434","180939","5","492","2008-10-08 00:00:00",""
"483622","177541","5","113","2008-10-08 00:00:00",""
"483636","147189","5","492","2008-10-08 00:00:00",""
"483762","180841","5","653","2008-10-08 00:00:00",""
"483811","78756","5","492","2008-10-08 00:00:00",""
"484038","78955","5","492","2008-10-08 00:00:00",""
"484321","154718","5","245","2008-10-08 00:00:00",""
"484383","181337","5","245","2008-10-08 00:00:00",""
"484398","181225","5","488","2008-10-08 00:00:00",""
"484476","35490","5","488","2008-10-08 00:00:00",""
"484797","181348","5","406","2008-10-08 00:00:00",""
"485906","175074","5","377","2008-10-08 00:00:00",""
"486014","181928","5","231","2008-10-08 00:00:00",""
"486082","181225","5","86","2008-10-08 00:00:00",""
"486107","181953","5","615","2008-10-08 00:00:00",""
"486705","182105","5","13","2008-10-08 00:00:00",""
"486939","106095","5","439","2008-10-08 00:00:00",""
"487117","57530","5","231","2008-10-08 00:00:00",""
"487721","181892","5","430","2008-10-08 00:00:00",""
"94892340","31867052","5","936","2015-08-07 00:00:00",""
"26093096","2674375","5","607","2012-03-29 00:00:00",""
"557238","11915","5","438","2008-10-15 00:00:00",""
"557278","206764","5","438","2008-10-15 00:00:00",""
"557316","27972","5","731","2008-10-15 00:00:00",""
"557536","205568","5","332","2008-10-15 00:00:00",""
"557642","66317","5","492","2008-10-15 00:00:00",""
"558743","207198","5","392","2008-10-16 00:00:00",""
"558896","207298","5","361","2008-10-16 00:00:00",""
"558910","207309","5","191","2008-10-16 00:00:00",""
"558962","129508","5","217","2008-10-16 00:00:00",""
"558985","202662","5","217","2008-10-16 00:00:00",""
"559003","147339","5","217","2008-10-16 00:00:00",""
"559031","160881","5","217","2008-10-16 00:00:00",""
"559094","158514","5","774","2008-10-16 00:00:00",""
"559366","129","5","657","2008-10-16 00:00:00",""
"559419","4371","5","657","2008-10-16 00:00:00",""
"559449","150764","5","657","2008-10-16 00:00:00",""
"559800","207454","5","826","2008-10-16 00:00:00",""
"559906","207414","5","544","2008-10-16 00:00:00",""
"560194","207613","5","341","2008-10-16 00:00:00",""
"560781","205165","5","986","2008-10-16 00:00:00",""
"560791","42499","5","91","2008-10-16 00:00:00",""
"561220","193298","5","199","2008-10-16 00:00:00",""
"33635818","19132","5","781","2012-09-21 00:00:00",""
"17598744","204759","5","305","2011-07-27 00:00:00",""
"94537139","20022512","5","729","2015-08-02 00:00:00",""
"55633053","7065543","5","71","2013-10-16 00:00:00",""
"55638076","5590381","5","259","2013-10-16 00:00:00",""
"9186508","3241986","5","432","2010-08-15 00:00:00",""
"33681708","5999118","5","698","2012-09-21 00:00:00",""
"109229329","7026687","5","555","2016-03-08 00:00:00",""
"33750155","3811126","5","853","2012-09-24 00:00:00",""
"109288108","15617821","5","199","2016-03-09 00:00:00",""
"72118699","9677985","5","571","2014-07-23 00:00:00",""
"72119929","7262959","5","853","2014-07-23 00:00:00",""
"72121809","4739066","5","803","2014-07-23 00:00:00",""
"116579611","37931890","5","282","2016-06-22 00:00:00",""
"55804361","19455611","5","300","2013-10-18 00:00:00",""
"41943358","15033809","5","303","2013-02-22 00:00:00",""
"41946132","6064987","5","751","2013-02-23 00:00:00",""
"109316857","12866832","5","470","2016-03-09 00:00:00",""
"109317902","5669496","5","609","2016-03-09 00:00:00",""
"116596942","345091","5","685","2016-06-22 00:00:00",""
"17779876","255202","5","731","2011-08-02 00:00:00",""
"55821936","2740020","5","145","2013-10-19 00:00:00",""
"55823068","1054558","5","609","2013-10-19 00:00:00",""
"41973239","435646","5","636","2013-02-23 00:00:00",""
"41973578","9781269","5","571","2013-02-23 00:00:00",""
"48932890","16941289","8","-1","2013-06-17 00:00:00","500"
"48967955","17044661","8","-1","2013-06-18 00:00:00","50"
"9419700","1169927","5","655","2010-08-27 00:00:00",""
"55907971","315911","5","932","2013-10-21 00:00:00",""
"55907986","19442651","8","-1","2013-10-21 00:00:00","50"
"9450368","1114287","5","894","2010-08-29 00:00:00",""
"9450414","1600962","5","936","2010-08-29 00:00:00",""
"9450460","1690201","5","894","2010-08-29 00:00:00",""
"9450493","2489643","5","853","2010-08-29 00:00:00",""
"9450739","2925940","5","571","2010-08-29 00:00:00",""
"9454846","1669","5","181","2010-08-30 00:00:00",""
"9467633","3596850","5","208","2010-08-30 00:00:00",""
"94847523","16418933","5","621","2015-08-06 00:00:00",""
"94848308","30354672","5","649","2015-08-06 00:00:00",""
"49049546","40402","5","621","2013-06-19 00:00:00",""
"55978432","16483560","5","364","2013-10-22 00:00:00",""
"55980092","19477129","8","-1","2013-10-22 00:00:00","50"
"55982608","19477510","8","-1","2013-10-22 00:00:00","50"
"502785","161813","5","825","2008-10-09 00:00:00",""
"502902","188275","5","327","2008-10-09 00:00:00",""
"503282","184618","5","26","2008-10-09 00:00:00",""
"503909","121243","5","815","2008-10-09 00:00:00",""
"503926","187998","5","420","2008-10-09 00:00:00",""
"503999","188692","5","3","2008-10-09 00:00:00",""
"504046","188491","5","619","2008-10-09 00:00:00",""
"504717","188444","5","115","2008-10-09 00:00:00",""
"504719","188452","5","115","2008-10-09 00:00:00",""
"505889","3213","5","247","2008-10-09 00:00:00",""
"506630","188417","5","473","2008-10-09 00:00:00",""
"506792","61401","5","305","2008-10-10 00:00:00",""
"507081","46331","5","658","2008-10-10 00:00:00",""
"507095","189362","5","3","2008-10-10 00:00:00",""
"507339","189791","5","659","2008-10-10 00:00:00",""
"508093","139115","5","231","2008-10-10 00:00:00",""
"508117","190130","5","115","2008-10-10 00:00:00",""
"508196","190190","5","826","2008-10-10 00:00:00",""
"508357","158851","5","757","2008-10-10 00:00:00",""
"508589","190296","5","903","2008-10-10 00:00:00",""
"508649","159799","5","689","2008-10-10 00:00:00",""
"508709","190296","5","85","2008-10-10 00:00:00",""
"508719","182112","5","996","2008-10-10 00:00:00",""
"508802","112028","5","659","2008-10-10 00:00:00",""
"508806","183918","5","826","2008-10-10 00:00:00",""
"508811","15636","5","826","2008-10-10 00:00:00",""
"508837","13781","5","731","2008-10-10 00:00:00",""
"508841","54607","5","731","2008-10-10 00:00:00",""
"508845","84556","5","731","2008-10-10 00:00:00",""
"72307761","12553160","8","-1","2014-07-27 00:00:00","500"
"42142153","1137635","5","838","2013-02-26 00:00:00",""
"9537000","1296180","5","396","2010-09-03 00:00:00",""
"9537335","2810508","5","731","2010-09-03 00:00:00",""
"9540455","981214","5","609","2010-09-03 00:00:00",""
"9542611","1040101","5","877","2010-09-03 00:00:00",""
"540907","199555","5","346","2008-10-14 00:00:00",""
"541262","199822","5","909","2008-10-14 00:00:00",""
"541290","199556","5","796","2008-10-14 00:00:00",""
"541352","200939","5","1000","2008-10-14 00:00:00",""
"541367","200721","5","1000","2008-10-14 00:00:00",""
